model_name,preprocessing_mode,normalization_strategy,probe_type,regressor_type,MAE_with_inversion,MAE_without_inversion,delta_MAE,RMSE_with_inversion,RMSE_without_inversion,delta_RMSE,median_absolute_error_with_inversion,median_absolute_error_without_inversion,delta_median_absolute_error,p95_absolute_error_with_inversion,p95_absolute_error_without_inversion,delta_p95_absolute_error,catastrophic_error_rate_20bpm_with_inversion,catastrophic_error_rate_20bpm_without_inversion,delta_catastrophic_error_rate_20bpm
pulseppg,harmonized,per_window_zscore,ridge,ridge,8.050784000037083,8.06469728031772,0.013913280280636542,12.497685354886125,12.356690093870943,-0.14099526101518123,4.866048471678127,4.9204602609164,0.054411789238272945,27.914928906171873,26.989506650162106,-0.9254222560097674,0.09212423011400865,0.09461407417114402,0.002489844057135371
spectral,harmonized,NA,NA,classical_spectral,18.60326496755225,18.60326496755225,0.0,29.58345792820731,29.58345792820731,0.0,6.662870159500002,6.662870159500002,0.0,63.011588642099994,63.011588642099994,0.0,0.3285283711178089,0.3285283711178089,0.0
papagei,harmonized,per_window_zscore,ridge,ridge,11.462122270495025,11.402719745418002,-0.05940252507702226,16.568073698868492,16.961503293053187,0.3934295941846955,8.084515074270314,7.934245022869533,-0.1502700514007813,35.85054798417226,35.532580390492974,-0.31796759367928473,0.14074171144017822,0.1302581575153977,-0.010483553924780509
peak_based,harmonized,NA,NA,classical_peak,7.865751282172412,7.470450817434321,-0.39530046473809133,16.10516715149217,16.02987972626808,-0.07528742522409004,2.8210116732000046,2.4523329805470553,-0.3686786926529493,37.13194201159927,38.032114305993986,0.9001722943947144,0.10604273168174072,0.10077316210195256,-0.005269569579788164
