Model,Preprocessing mode,Normalization,Probe / Regressor,MAE,RMSE,Median AE,P95 AE,Catastrophic error >20 bpm,n_windows
pulseppg,harmonized,per_window_zscore,random_forest,6.817562368739363,11.343081441215153,3.6609634563472326,25.79774854586492,0.07993709867645132,7631
peak_based,harmonized,NA,classical_peak,7.865751282172412,16.10516715149217,2.8210116732000046,37.13194201159927,0.10604273168174072,7629
pulseppg,harmonized,per_window_zscore,ridge,8.050784000037083,12.497685354886125,4.866048471678127,27.914928906171873,0.09212423011400865,7631
pulseppg,harmonized,per_window_zscore,linear,8.139044949627655,12.569079290997497,4.9826813131531225,28.15860322939062,0.0931725855064867,7631
papagei,harmonized,per_window_zscore,ridge,11.462122270495025,16.568073698868492,8.084515074270314,35.85054798417226,0.14074171144017822,7631
papagei,harmonized,per_window_zscore,random_forest,11.470994376317266,16.4607430678308,8.16808298409677,35.66720615621573,0.13890708950334163,7631
papagei,harmonized,per_window_zscore,linear,11.528971521817729,16.78046551966988,8.11719068950859,36.04860566869101,0.13995544489581968,7631
spectral,harmonized,NA,classical_spectral,18.60326496755225,29.58345792820731,6.662870159500002,63.011588642099994,0.3285283711178089,7631
