classical_run,foundation_run,n_windows,classical_MAE,foundation_MAE,oracle_MAE,oracle_gain_vs_best_single_MAE,classical_p95,foundation_p95,oracle_p95,oracle_gain_vs_best_single_p95,classical_win_rate,foundation_win_rate,tie_rate
spectral/harmonized/NA/classical_spectral,papagei/harmonized/per_window_zscore/linear,7631,18.60326496755225,11.528971521817729,7.7250384910908165,3.8039330307269124,63.011588642099994,36.04860566869101,27.30870045065,8.73990521804101,0.4708426156467042,0.5291573843532957,0.0
spectral/harmonized/NA/classical_spectral,papagei/model_faithful/per_window_zscore/linear,7631,18.60326496755225,11.528971521817729,7.7250384910908165,3.8039330307269124,63.011588642099994,36.04860566869101,27.30870045065,8.73990521804101,0.4708426156467042,0.5291573843532957,0.0
spectral/harmonized/NA/classical_spectral,papagei/model_faithful/per_window_zscore/ridge,7631,18.60326496755225,11.462122270495025,7.742324170065037,3.719798100429988,63.011588642099994,35.85054798417226,27.399852454548437,8.450695529623822,0.4687459048617481,0.5312540951382518,0.0
spectral/harmonized/NA/classical_spectral,papagei/harmonized/per_window_zscore/ridge,7631,18.60326496755225,11.462122270495025,7.742324170065037,3.719798100429988,63.011588642099994,35.85054798417226,27.399852454548437,8.450695529623822,0.4687459048617481,0.5312540951382518,0.0
spectral/harmonized/NA/classical_spectral,papagei/harmonized/per_window_zscore/random_forest,7631,18.60326496755225,11.470994376317266,7.82888424759432,3.6421101287229467,63.011588642099994,35.66720615621573,26.362316078010615,9.304890078205112,0.48630585768575546,0.5136941423142445,0.0
spectral/harmonized/NA/classical_spectral,papagei/model_faithful/per_window_zscore/random_forest,7631,18.60326496755225,11.470994376317266,7.82888424759432,3.6421101287229467,63.011588642099994,35.66720615621573,26.362316078010615,9.304890078205112,0.48630585768575546,0.5136941423142445,0.0
peak_based/harmonized/NA/classical_peak,pulseppg/model_faithful/person_specific_zscore/ridge,7629,7.865751282172412,8.054395462626301,4.8766556696658485,2.9890956125065635,37.13194201159927,27.954974381412615,21.60852297198531,6.346451409427306,0.6101717131996329,0.389828286800367,0.0
peak_based/harmonized/NA/classical_peak,pulseppg/model_faithful/NA/ridge,7629,7.865751282172412,8.052790410348386,4.876688766443738,2.9890625157286737,37.13194201159927,27.91684266754546,21.57882917833902,6.338013489206439,0.6104338707563246,0.38956612924367545,0.0
peak_based/harmonized/NA/classical_peak,pulseppg/model_faithful/causal_running_zscore/ridge,7629,7.865751282172412,8.055149642241133,4.876735093524303,2.989016188648109,37.13194201159927,27.94449340892686,21.614651956607297,6.329841452319563,0.6109581858697077,0.3890418141302923,0.0
peak_based/harmonized/NA/classical_peak,pulseppg/harmonized/per_window_zscore/ridge,7629,7.865751282172412,8.052573908036099,4.876808231713669,2.988943050458743,37.13194201159927,27.918058404058108,21.576943614241504,6.341114789816604,0.6105649495346703,0.38943505046532967,0.0
peak_based/harmonized/NA/classical_peak,pulseppg/model_faithful/per_window_zscore/ridge,7629,7.865751282172412,8.052573908036099,4.876808231713669,2.988943050458743,37.13194201159927,27.918058404058108,21.576943614241504,6.341114789816604,0.6105649495346703,0.38943505046532967,0.0
peak_based/harmonized/NA/classical_peak,pulseppg/model_faithful/person_specific_zscore/linear,7629,7.865751282172412,8.142138313148484,4.880947869662345,2.9848034125100673,37.13194201159927,28.190341912757187,21.374347586438905,6.8159943263182825,0.6137108402149692,0.3862891597850308,0.0
peak_based/harmonized/NA/classical_peak,pulseppg/model_faithful/NA/linear,7629,7.865751282172412,8.141012467821058,4.88135251326483,2.9843987689075817,37.13194201159927,28.18341337112687,21.420731129602494,6.762682241524377,0.6150216279984271,0.3849783720015729,0.0
peak_based/harmonized/NA/classical_peak,pulseppg/harmonized/per_window_zscore/linear,7629,7.865751282172412,8.140849079440477,4.881478148853235,2.984273133319177,37.13194201159927,28.16232457310685,21.42114061483593,6.74118395827092,0.6143662341066981,0.3856337658933019,0.0
peak_based/harmonized/NA/classical_peak,pulseppg/model_faithful/per_window_zscore/linear,7629,7.865751282172412,8.140849079440477,4.881478148853235,2.984273133319177,37.13194201159927,28.16232457310685,21.42114061483593,6.74118395827092,0.6143662341066981,0.3856337658933019,0.0
peak_based/harmonized/NA/classical_peak,pulseppg/model_faithful/causal_running_zscore/linear,7629,7.865751282172412,8.1440574869774,4.88174794845984,2.9840033337125718,37.13194201159927,28.17031885141406,21.410813983236345,6.759504868177714,0.6152837855551186,0.38471621444488135,0.0
peak_based/harmonized/NA/classical_peak,papagei/model_faithful/per_window_zscore/random_forest,7629,7.865751282172412,11.471482743031693,5.157099482631295,2.7086517995411175,37.13194201159927,35.674416898479976,21.072745459962675,14.6016714385173,0.7280115349324944,0.27198846506750557,0.0
peak_based/harmonized/NA/classical_peak,papagei/harmonized/per_window_zscore/random_forest,7629,7.865751282172412,11.471482743031693,5.157099482631295,2.7086517995411175,37.13194201159927,35.674416898479976,21.072745459962675,14.6016714385173,0.7280115349324944,0.27198846506750557,0.0
peak_based/harmonized/NA/classical_peak,papagei/model_faithful/per_window_zscore/linear,7629,7.865751282172412,11.523343736946257,5.201209041720468,2.6645422404519437,37.13194201159927,35.98306213108339,21.69226119994062,14.290800931142773,0.7238170140254293,0.2761829859745707,0.0
