run_dir,run_id,predictions_csv,metrics_json,run_config_json,run_log_json,mae,rmse
experiments/week2_galaxyppg_corrected_2026-05-01/runs/inversion_ablation/pulseppg_ridge_raw,inversion_ablation/pulseppg_ridge_raw,experiments/week2_galaxyppg_corrected_2026-05-01/runs/inversion_ablation/pulseppg_ridge_raw/predictions.csv,experiments/week2_galaxyppg_corrected_2026-05-01/runs/inversion_ablation/pulseppg_ridge_raw/metrics.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/inversion_ablation/pulseppg_ridge_raw/run_config.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/inversion_ablation/pulseppg_ridge_raw/run_log.json,8.06469728031772,12.356690093870943
experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/papagei_linear,model_faithful/papagei_linear,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/papagei_linear/predictions.csv,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/papagei_linear/metrics.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/papagei_linear/run_config.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/papagei_linear/run_log.json,11.528971521817729,16.78046551966988
experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/papagei_random_forest,model_faithful/papagei_random_forest,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/papagei_random_forest/predictions.csv,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/papagei_random_forest/metrics.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/papagei_random_forest/run_config.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/papagei_random_forest/run_log.json,11.470994376317266,16.4607430678308
experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/papagei_ridge,model_faithful/papagei_ridge,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/papagei_ridge/predictions.csv,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/papagei_ridge/metrics.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/papagei_ridge/run_config.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/papagei_ridge/run_log.json,11.462122270495025,16.568073698868496
experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_causal_running_zscore_linear,model_faithful/pulseppg_causal_running_zscore_linear,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_causal_running_zscore_linear/predictions.csv,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_causal_running_zscore_linear/metrics.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_causal_running_zscore_linear/run_config.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_causal_running_zscore_linear/run_log.json,8.142237960339779,12.571822076943663
experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_causal_running_zscore_random_forest,model_faithful/pulseppg_causal_running_zscore_random_forest,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_causal_running_zscore_random_forest/predictions.csv,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_causal_running_zscore_random_forest/metrics.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_causal_running_zscore_random_forest/run_config.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_causal_running_zscore_random_forest/run_log.json,6.8605832864069,11.328713593680858
experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_causal_running_zscore_ridge,model_faithful/pulseppg_causal_running_zscore_ridge,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_causal_running_zscore_ridge/predictions.csv,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_causal_running_zscore_ridge/metrics.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_causal_running_zscore_ridge/run_config.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_causal_running_zscore_ridge/run_log.json,8.053343323482201,12.500113727688836
experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_none_linear,model_faithful/pulseppg_none_linear,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_none_linear/predictions.csv,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_none_linear/metrics.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_none_linear/run_config.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_none_linear/run_log.json,8.139204041081165,12.568951460509062
experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_none_ridge,model_faithful/pulseppg_none_ridge,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_none_ridge/predictions.csv,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_none_ridge/metrics.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_none_ridge/run_config.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_none_ridge/run_log.json,8.050996927346885,12.4975014935062
experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_per_window_zscore_linear,model_faithful/pulseppg_per_window_zscore_linear,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_per_window_zscore_linear/predictions.csv,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_per_window_zscore_linear/metrics.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_per_window_zscore_linear/run_config.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_per_window_zscore_linear/run_log.json,8.139044949627655,12.569079290997497
experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_per_window_zscore_ridge,model_faithful/pulseppg_per_window_zscore_ridge,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_per_window_zscore_ridge/predictions.csv,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_per_window_zscore_ridge/metrics.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_per_window_zscore_ridge/run_config.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_per_window_zscore_ridge/run_log.json,8.050784000037083,12.497685354886126
experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_person_specific_zscore_linear,model_faithful/pulseppg_person_specific_zscore_linear,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_person_specific_zscore_linear/predictions.csv,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_person_specific_zscore_linear/metrics.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_person_specific_zscore_linear/run_config.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_person_specific_zscore_linear/run_log.json,8.140313319761145,12.56946190228767
experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_person_specific_zscore_ridge,model_faithful/pulseppg_person_specific_zscore_ridge,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_person_specific_zscore_ridge/predictions.csv,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_person_specific_zscore_ridge/metrics.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_person_specific_zscore_ridge/run_config.json,experiments/week2_galaxyppg_corrected_2026-05-01/runs/model_faithful/pulseppg_person_specific_zscore_ridge/run_log.json,8.052584090634392,12.498605465780688
