ppg_autocorr_quality_bin,n_windows,classical_MAE,foundation_MAE,oracle_MAE,mean_error_gap_classical_minus_foundation,median_error_gap_classical_minus_foundation,classical_win_rate,foundation_win_rate,tie_rate,oracle_gain_vs_best_single_MAE
low_quality,2543,10.078725708832982,8.515725046585036,5.644576104418041,1.563000662247946,-0.3072031927707569,0.5371608336610303,0.4628391663389697,0.0,2.871148942166995
high_quality,2543,6.477024833456457,5.5407339497502495,3.6809796589031936,0.9362908837062065,0.10482448165504366,0.484073928430987,0.5159260715690129,0.0,1.859754290847056
mid_quality,2543,7.041503304227798,6.398182029825512,4.165156854722478,0.6433212744022857,-0.3318654815945905,0.5524970507274872,0.4475029492725128,0.0,2.233025175103034
