expert,run,MAE,RMSE,median_absolute_error,p95_absolute_error,catastrophic_error_rate_20bpm,n_windows,gain_vs_best_single_MAE,gain_vs_best_single_p95,gain_vs_best_single_catastrophic_rate
classical,peak_based/harmonized/NA/classical_peak,7.865751282172412,16.10516715149217,2.8210116732000046,37.13194201159927,0.10604273168174072,7629,-1.047537606785479,-11.333521082816905,-0.02608467689081137
foundation,pulseppg/harmonized/per_window_zscore/random_forest,6.818213675386933,11.344165012459614,3.6609634563472326,25.798420928782367,0.07995805479092935,7629,0.0,0.0,0.0
oracle_router,per-window lower true error,4.4969042060145705,8.919251567326516,1.8547959724529477,19.105090503694672,0.04823699043124918,7629,2.3213094693723626,6.693330425087694,0.03172106435968017
